i,ID,MIG.grey,Aniso.grey,Timestamp,DateAndTime,PLOT,CAM
216,WSCT0218.JPG,0.202829622,0.967230171,22/06/2016 14:44,2015:06:26 13:00:01,LADERA,3
217,WSCT0219.JPG,0.27367338,0.976476854,22/06/2016 14:44,2015:06:26 14:00:01,LADERA,3
218,WSCT0220.JPG,0.267968344,0.984725486,22/06/2016 14:44,2015:06:27 09:00:01,LADERA,3
219,WSCT0221.JPG,0.188347057,0.946535969,22/06/2016 14:45,2015:06:27 10:00:01,LADERA,3
220,WSCT0222.JPG,0.191836323,0.963442049,22/06/2016 14:45,2015:06:27 11:00:01,LADERA,3
221,WSCT0223.JPG,0.193041832,0.959921947,22/06/2016 14:45,2015:06:27 12:00:01,LADERA,3
222,WSCT0224.JPG,0.187805555,0.975468678,22/06/2016 14:45,2015:06:27 13:00:01,LADERA,3
223,WSCT0225.JPG,0.188664856,0.989700786,22/06/2016 14:46,2015:06:27 14:00:01,LADERA,3
224,WSCT0226.JPG,0.194534753,0.965570487,22/06/2016 14:46,2015:06:28 09:00:01,LADERA,3
225,WSCT0227.JPG,0.185804407,0.972615908,22/06/2016 14:46,2015:06:28 10:00:01,LADERA,3
226,WSCT0228.JPG,0.177255349,0.958723671,22/06/2016 14:47,2015:06:28 11:00:01,LADERA,3
227,WSCT0229.JPG,0.190267785,0.967301878,22/06/2016 14:47,2015:06:28 12:00:01,LADERA,3
228,WSCT0230.JPG,0.187585579,0.972819705,22/06/2016 14:47,2015:06:28 13:00:01,LADERA,3
229,WSCT0231.JPG,0.171848776,0.989149517,22/06/2016 14:48,2015:06:28 14:00:01,LADERA,3
230,WSCT0232.JPG,0.200060396,0.967913901,22/06/2016 14:48,2015:06:29 09:00:01,LADERA,3
231,WSCT0233.JPG,0.193944455,0.946257479,22/06/2016 14:48,2015:06:29 10:00:01,LADERA,3
232,WSCT0234.JPG,0.189032201,0.956421245,22/06/2016 14:48,2015:06:29 11:00:01,LADERA,3
233,WSCT0235.JPG,0.192891649,0.955728498,22/06/2016 14:49,2015:06:29 12:00:01,LADERA,3
234,WSCT0236.JPG,0.195435219,0.973796612,22/06/2016 14:49,2015:06:29 13:00:01,LADERA,3
235,WSCT0237.JPG,0.187259574,0.983263407,22/06/2016 14:49,2015:06:29 14:00:01,LADERA,3
236,WSCT0238.JPG,0.196455781,0.962536628,22/06/2016 14:50,2015:06:30 09:00:01,LADERA,3
237,WSCT0239.JPG,0.194412963,0.965417824,22/06/2016 14:50,2015:06:30 10:00:01,LADERA,3
238,WSCT0240.JPG,0.193198991,0.957743706,22/06/2016 14:50,2015:06:30 11:00:01,LADERA,3
239,WSCT0241.JPG,0.191762583,0.960430656,22/06/2016 14:51,2015:06:30 12:00:01,LADERA,3
240,WSCT0242.JPG,0.200223425,0.985557204,22/06/2016 14:51,2015:06:30 13:00:01,LADERA,3
241,WSCT0243.JPG,0.169918717,0.991907409,22/06/2016 14:51,2015:06:30 14:00:01,LADERA,3
